17/03/24 01:06:19 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/24 01:06:20 INFO client.RMProxy: Connecting to ResourceManager at cluster-2-m/10.138.0.7:8032
17/03/24 01:06:21 INFO gcsio.CacheSupplementedGoogleCloudStorage: Populating missing itemInfo on-demand for entry: gs://dataproc-1a827518-6b9d-4d03-9d4f-6782f49e30aa-us/output_full/_temporary/
17/03/24 01:06:21 WARN gcsio.CacheSupplementedGoogleCloudStorage: Possible stale CacheEntry; failed to fetch item info for: gs://dataproc-1a827518-6b9d-4d03-9d4f-6782f49e30aa-us/output_full/_temporary/ - removing from cache
17/03/24 01:06:21 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/24 01:06:23 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/24 01:06:23 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/24 01:06:23 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490317043049_0002
17/03/24 01:06:24 INFO impl.YarnClientImpl: Submitted application application_1490317043049_0002
17/03/24 01:06:24 INFO mapreduce.Job: The url to track the job: http://cluster-2-m:8088/proxy/application_1490317043049_0002/
17/03/24 01:06:24 INFO mapreduce.Job: Running job: job_1490317043049_0002
17/03/24 01:06:30 INFO mapreduce.Job: Job job_1490317043049_0002 running in uber mode : false
17/03/24 01:37:23 INFO mapreduce.Job:  map 66% reduce 4%
17/03/24 01:37:52 INFO mapreduce.Job:  map 67% reduce 4%
17/03/24 01:38:21 INFO mapreduce.Job:  map 68% reduce 4%
17/03/24 01:38:48 INFO mapreduce.Job:  map 69% reduce 4%
17/03/24 01:39:15 INFO mapreduce.Job:  map 70% reduce 4%
17/03/24 01:39:43 INFO mapreduce.Job:  map 71% reduce 4%
17/03/24 01:40:10 INFO mapreduce.Job:  map 72% reduce 4%
17/03/24 01:40:39 INFO mapreduce.Job:  map 73% reduce 4%
17/03/24 01:41:08 INFO mapreduce.Job:  map 74% reduce 4%
17/03/24 01:41:33 INFO mapreduce.Job:  map 75% reduce 4%
17/03/24 01:41:59 INFO mapreduce.Job:  map 76% reduce 4%
17/03/24 01:42:26 INFO mapreduce.Job:  map 77% reduce 4%
17/03/24 01:42:54 INFO mapreduce.Job:  map 78% reduce 4%
17/03/24 01:43:19 INFO mapreduce.Job:  map 79% reduce 4%
17/03/24 01:43:45 INFO mapreduce.Job:  map 80% reduce 4%
17/03/24 01:44:10 INFO mapreduce.Job:  map 81% reduce 4%
17/03/24 01:44:25 INFO mapreduce.Job:  map 81% reduce 5%
17/03/24 01:44:37 INFO mapreduce.Job:  map 82% reduce 5%
17/03/24 01:45:04 INFO mapreduce.Job:  map 83% reduce 5%
17/03/24 01:45:30 INFO mapreduce.Job:  map 84% reduce 5%
17/03/24 01:45:56 INFO mapreduce.Job:  map 85% reduce 5%
17/03/24 01:46:23 INFO mapreduce.Job:  map 86% reduce 5%
17/03/24 01:46:48 INFO mapreduce.Job:  map 87% reduce 5%
17/03/24 01:47:13 INFO mapreduce.Job:  map 88% reduce 5%
17/03/24 01:47:41 INFO mapreduce.Job:  map 89% reduce 5%
17/03/24 01:48:06 INFO mapreduce.Job:  map 90% reduce 5%
17/03/24 01:48:31 INFO mapreduce.Job:  map 91% reduce 5%
17/03/24 01:48:59 INFO mapreduce.Job:  map 92% reduce 5%
17/03/24 01:49:24 INFO mapreduce.Job:  map 93% reduce 5%
17/03/24 01:49:50 INFO mapreduce.Job:  map 94% reduce 5%
17/03/24 01:50:16 INFO mapreduce.Job:  map 95% reduce 5%
17/03/24 01:50:42 INFO mapreduce.Job:  map 96% reduce 5%
17/03/24 01:51:08 INFO mapreduce.Job:  map 97% reduce 5%
17/03/24 01:51:33 INFO mapreduce.Job:  map 98% reduce 5%
17/03/24 01:51:58 INFO mapreduce.Job:  map 99% reduce 5%
17/03/24 01:52:14 INFO mapreduce.Job:  map 99% reduce 6%
17/03/24 01:52:25 INFO mapreduce.Job:  map 100% reduce 6%
17/03/24 01:52:43 INFO mapreduce.Job:  map 100% reduce 7%
17/03/24 01:52:44 INFO mapreduce.Job:  map 100% reduce 11%
17/03/24 01:52:45 INFO mapreduce.Job:  map 100% reduce 14%
17/03/24 01:52:46 INFO mapreduce.Job:  map 100% reduce 15%
17/03/24 01:52:47 INFO mapreduce.Job:  map 100% reduce 20%
17/03/24 01:52:48 INFO mapreduce.Job:  map 100% reduce 21%
17/03/24 01:52:50 INFO mapreduce.Job:  map 100% reduce 24%
17/03/24 01:52:51 INFO mapreduce.Job:  map 100% reduce 25%
17/03/24 01:52:52 INFO mapreduce.Job:  map 100% reduce 26%
17/03/24 01:52:53 INFO mapreduce.Job:  map 100% reduce 27%
17/03/24 01:52:54 INFO mapreduce.Job:  map 100% reduce 28%
17/03/24 01:52:55 INFO mapreduce.Job:  map 100% reduce 29%
